"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000123416",4420.07398793879,-1.93835766660052,0.0517370644131616,-37.4655517970867,3.35319431844778e-307,2.12081556845826e-304,"TUBA1B","10376","tubulin alpha 1b"
"ENSG00000150938",7442.98631416393,-2.05960011244855,0.0553184870851672,-37.2316782503042,2.09735932965083e-303,1.2662330280192e-300,"CRIM1","51232","cysteine rich transmembrane BMP regulator 1"
"ENSG00000157680",1359.0634938634,2.5449501676435,0.0692379345432049,36.7565870419696,9.12478589459517e-296,5.26936548921796e-293,"DGKI","9162","diacylglycerol kinase iota"
"ENSG00000136068",3796.1265394147,-1.64977276497259,0.0449315998832239,-36.7174275846021,3.85000705551575e-295,2.13065807130668e-292,"FLNB","2317","filamin B"
"ENSG00000104081",804.838487338129,4.43411747113274,0.120973076900199,36.6537545770686,3.98726238599247e-294,2.11835276043008e-291,"BMF","90427","Bcl2 modifying factor"
"ENSG00000165434",1243.14971044106,2.51721438468585,0.0691632664630284,36.3952501582822,5.06106421550483e-290,2.58542518885904e-287,"PGM2L1","283209","phosphoglucomutase 2 like 1"
"ENSG00000101825",1024.97040543336,3.28773227511627,0.0904656084454245,36.3423441417483,3.47145005064476e-289,1.70769628046903e-286,"MXRA5","25878","matrix remodeling associated 5"
"ENSG00000117724",1324.17284690485,-2.82509148013747,0.0779663521679465,-36.2347525770087,1.72755015461074e-287,8.19475755483564e-285,"CENPF","1063","centromere protein F"
"ENSG00000074416",2392.80973934457,-2.14804847927891,0.0594900060150563,-36.1077199880474,1.71594945884122e-285,7.85904852149277e-283,"MGLL","11343","monoglyceride lipase"
"ENSG00000181104",14922.5173336984,1.66816051321929,0.0463686119489691,35.9760718102835,1.98038906891613e-283,8.76784253778136e-281,"F2R","2149","coagulation factor II thrombin receptor"
"ENSG00000166073",2268.80918089117,-2.20667217288106,0.0614138065051392,-35.93120665296,9.95032230993987e-283,4.26323164260069e-280,"GPR176","11245","G protein-coupled receptor 176"
"ENSG00000104368",13214.4968037918,2.02764888858352,0.0565989519767209,35.8248486547505,4.53266381510024e-281,1.88133877475504e-278,"PLAT","5327","plasminogen activator, tissue type"
"ENSG00000115963",13232.3301349766,1.80530722002468,0.0504212493343708,35.8044920317763,9.40219386076199e-281,3.78424057147396e-278,"RND3","390","Rho family GTPase 3"
"ENSG00000091527",2814.15907315816,-1.81026791221259,0.0507296014490214,-35.6846468433573,6.84100822564694e-279,2.67241974273655e-276,"CDV3","55573","CDV3 homolog"
"ENSG00000033867",3157.52042924196,1.93501712822481,0.0543927772823485,35.5748910959316,3.42606536598707e-277,1.30014286260115e-274,"SLC4A7","9497","solute carrier family 4 member 7"
"ENSG00000074800",18390.4756149844,-1.33891672977843,0.0376661392956543,-35.546959545517,9.25781885788862e-277,3.41562083529102e-274,"ENO1","2023","enolase 1"
"ENSG00000143799",1043.84682510942,-2.61746021970803,0.0738807057885607,-35.4281972779056,6.28537100776006e-275,2.25627831689376e-272,"PARP1","142","poly(ADP-ribose) polymerase 1"
"ENSG00000164938",1395.92210584831,2.31778729687135,0.0655361709851226,35.3665351824951,5.58483438940652e-274,1.95204658842362e-271,"TP53INP1","94241","tumor protein p53 inducible nuclear protein 1"
"ENSG00000110002",899.504360793506,4.43910356703859,0.125725506004391,35.3078997899088,4.44214767343758e-273,1.51283603586148e-270,"VWA5A","4013","von Willebrand factor A domain containing 5A"
"ENSG00000088325",1049.74978195443,-3.01206937186356,0.0856122633627516,-35.1826859091551,3.67927097440144e-271,1.22170192705e-268,"TPX2","22974","TPX2, microtubule nucleation factor"
"ENSG00000196549",1520.30148791169,2.83743488513999,0.080687768512722,35.1656135426848,6.71071288548066e-271,2.17394362304766e-268,"MME","4311","membrane metalloendopeptidase"
"ENSG00000133318",1500.97300012898,-2.41401748384817,0.0690836432881284,-34.9434014905668,1.63105599693597e-267,5.15802041697704e-265,"RTN3","10313","reticulon 3"
"ENSG00000073712",2356.74691021858,-2.30512991939146,0.0660504102949682,-34.8995548868992,7.55091989272143e-267,2.33235623290991e-264,"FERMT2","10979","fermitin family member 2"
"ENSG00000198959",5110.85796803933,-1.74618122235048,0.0500404257395604,-34.8954109910779,8.72680636832433e-267,2.63430550418372e-264,"TGM2","7052","transglutaminase 2"
"ENSG00000154864",1374.01910088605,2.3578709943163,0.0675794189965749,34.8903709047248,1.04062529635212e-266,3.07146337469975e-264,"PIEZO2","63895","piezo type mechanosensitive ion channel component 2"
"ENSG00000198901",744.768135087352,-3.17650241718067,0.0919186954121273,-34.5577404350495,1.09061173227152e-261,3.1490228321805e-259,"PRC1","9055","protein regulator of cytokinesis 1"
"ENSG00000197321",4211.22514661471,1.73275452023917,0.0508560379109278,34.0717561064041,1.93326801204108e-254,5.46333313530418e-252,"SVIL","6840","supervillin"
"ENSG00000146072",1758.22981855472,2.05909371220888,0.0613453358505518,33.5656115279114,5.32919552397492e-247,1.47463281144656e-244,"TNFRSF21","27242","TNF receptor superfamily member 21"
"ENSG00000277443",2830.20102519863,-1.92967363518715,0.0577209818728308,-33.431060466687,4.85144351252417e-245,1.31503821904788e-242,"MARCKS","4082","myristoylated alanine rich protein kinase C substrate"
"ENSG00000182752",6930.41939676306,2.01475438917395,0.0602926228032357,33.4162671235763,7.95790544902156e-245,2.11393800347809e-242,"PAPPA","5069","pappalysin 1"
"ENSG00000140943",1848.88777327798,-1.89363363292773,0.0567427661386784,-33.372247456173,3.46565159051022e-244,9.02564400493269e-242,"MBTPS1","8720","membrane bound transcription factor peptidase, site 1"
"ENSG00000081923",1549.06690179341,-2.52988351791704,0.0760804532838565,-33.2527398131821,1.86341181015052e-242,4.75958378123445e-240,"ATP8B1","5205","ATPase phospholipid transporting 8B1"
"ENSG00000145632",3262.15452178144,1.54678846227146,0.0469005482960092,32.9801786646293,1.56290207243489e-238,3.91669157095852e-236,"PLK2","10769","polo like kinase 2"
"ENSG00000102024",3591.26703399212,-1.70351343461978,0.0519797605159752,-32.7726295333013,1.44565084754745e-235,3.55576565872689e-233,"PLS3","5358","plastin 3"
"ENSG00000163346",2917.79069939981,1.81053704410156,0.0554644276593582,32.6432115232705,1.00033291129115e-233,2.41571304141256e-231,"PBXIP1","57326","PBX homeobox interacting protein 1"
"ENSG00000187678",2363.67043987816,1.72412663296958,0.0528271265782336,32.6371458121286,1.21957719815648e-233,2.89257577605613e-231,"SPRY4","81848","sprouty RTK signaling antagonist 4"
"ENSG00000104321",7567.20986030083,3.29744633697211,0.101231296318792,32.5733884369905,9.76966579470629e-233,2.27650352781209e-230,"TRPA1","8989","transient receptor potential cation channel subfamily A member 1"
"ENSG00000135046",4581.91768778281,-1.4639610149397,0.0451014997605748,-32.4592535217513,4.01028811154103e-231,9.18355977542896e-229,"ANXA1","301","annexin A1"
"ENSG00000143341",2279.33849385387,2.05717871885856,0.0635444770167046,32.3738397959868,6.40914522233096e-230,1.44281808208474e-227,"HMCN1","83872","hemicentin 1"
"ENSG00000168542",62749.3849250663,1.40988123640163,0.0436394046634893,32.3075268160383,5.48377894197941e-229,1.21392586512284e-226,"COL3A1","1281","collagen type III alpha 1 chain"
"ENSG00000163017",4893.9021785664,-1.87090411938945,0.0580530429939342,-32.2274944241068,7.27272429460871e-228,1.58354629640972e-225,"ACTG2","72","actin, gamma 2, smooth muscle, enteric"
"ENSG00000152894",4900.8667898464,1.68610856012553,0.0526456284637458,32.0275131920338,4.51536532259966e-225,9.6730777765756e-223,"PTPRK","5796","protein tyrosine phosphatase, receptor type K"
"ENSG00000173334",1074.47707273372,2.41259537576836,0.0754657989842644,31.9693875668291,2.90561165549239e-224,6.12576730289682e-222,"TRIB1","10221","tribbles pseudokinase 1"
"ENSG00000171951",793.124579134864,2.98015394814942,0.0935220572229883,31.8657869238668,7.9564341568325e-223,1.65120872611015e-220,"SCG2","7857","secretogranin II"
"ENSG00000153234",635.93920101828,4.32625480605975,0.135946197175692,31.8232866820737,3.08369436538381e-222,6.3011736247735e-220,"NR4A2","4929","nuclear receptor subfamily 4 group A member 2"
"ENSG00000134057",780.375869741297,-2.66982548147351,0.0841790614170258,-31.7160281491749,9.34161899280631e-221,1.87993005246141e-218,"CCNB1","891","cyclin B1"
"ENSG00000113721",11145.9451572206,1.38868108056043,0.0445161315124862,31.1950080426671,1.24518858690741e-213,2.46844698676183e-211,"PDGFRB","5159","platelet derived growth factor receptor beta"
"ENSG00000115461",200904.539632615,1.27117057105599,0.0408826810166204,31.0931313565079,2.9826761970129e-212,5.8258684189302e-210,"IGFBP5","3488","insulin like growth factor binding protein 5"
"ENSG00000105088",793.128211520276,2.86559883609014,0.0924571594850938,30.9938013675635,6.53371785305726e-211,1.25769334093198e-208,"OLFM2","93145","olfactomedin 2"
"ENSG00000160014",4226.55595021453,-1.42455569811275,0.046041871407073,-30.940438661099,3.4164431789436e-210,6.48245690038984e-208,"CALM3","808","calmodulin 3"
"ENSG00000164924",9585.69435022083,-1.337083263156,0.0432784832005903,-30.89487348618,1.39969451554392e-209,2.6184144444302e-207,"YWHAZ","7534","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta"
"ENSG00000148175",3890.72249473237,1.38274751066576,0.0447781003143765,30.8799949296155,2.21731087623138e-209,4.09032264695905e-207,"STOM","2040","stomatin"
"ENSG00000183287",603.48721362449,-3.43626972957563,0.111632644069968,-30.7819433840684,4.57180396741028e-208,8.31817812262237e-206,"CCBE1","147372","collagen and calcium binding EGF domains 1"
"ENSG00000164761",5291.78842553364,1.48921262930558,0.0486251607230582,30.6263795771763,5.45345736586407e-206,9.78821901802791e-204,"TNFRSF11B","4982","TNF receptor superfamily member 11b"
"ENSG00000092820",1475.49048809515,-1.91025763917194,0.062561712945313,-30.5339727644885,9.23034722462559e-205,1.63463295783303e-202,"EZR","7430","ezrin"
"ENSG00000127920",2352.92723869813,2.10484837449355,0.0691359803367515,30.4450499470916,1.3929864921097e-203,2.43442718265803e-201,"GNG11","2791","G protein subunit gamma 11"
"ENSG00000068489",527.868372422254,-3.28319497708531,0.107964299723669,-30.4100057656887,4.05077027871526e-203,6.98731569375274e-201,"PRR11","55771","proline rich 11"
"ENSG00000130513",4665.52215751242,4.22670314152856,0.139333107448276,30.3352391899938,3.93391564267365e-202,6.69875225205019e-200,"GDF15","9518","growth differentiation factor 15"
"ENSG00000112984",587.875352632019,-3.36403265491551,0.111222286728744,-30.2460303043395,5.88368149285091e-201,9.89203260608175e-199,"KIF20A","10112","kinesin family member 20A"
"ENSG00000135074",13374.6004179129,1.1418997419129,0.0381291206724823,29.9482317392387,4.63945854401713e-197,7.70266104770445e-195,"ADAM19","8728","ADAM metallopeptidase domain 19"
"ENSG00000133818",917.65645300902,-2.58028680944685,0.0863114824092987,-29.8950584258401,2.28146714940507e-196,3.74104279980224e-194,"RRAS2","22800","RAS related 2"
"ENSG00000066279",593.333577786577,-3.10038901718933,0.103804436171472,-29.8675965261049,5.1879245686452e-196,8.40317245374945e-194,"ASPM","259266","abnormal spindle microtubule assembly"
"ENSG00000076513",2351.57847713981,-1.9445116202224,0.0651531807936513,-29.8452292971072,1.01237731967708e-195,1.62004765782542e-193,"ANKRD13A","88455","ankyrin repeat domain 13A"
"ENSG00000116991",845.465812777274,2.42024462430301,0.0816027818579825,29.6588494803411,2.60794145214668e-193,4.12365218659669e-191,"SIPA1L2","57568","signal induced proliferation associated 1 like 2"
"ENSG00000111615",1215.27891511062,1.95673337323384,0.0660945907091218,29.6050456208331,1.28672582364425e-192,2.01062263407563e-190,"KRR1","11103","KRR1, small subunit processome component homolog"
"ENSG00000128591",23487.8410667789,-1.33082223232812,0.0449890124962824,-29.581050093911,2.61957124156636e-192,4.04571456168424e-190,"FLNC","2318","filamin C"
"ENSG00000089159",2841.04018824034,-1.52004182689154,0.0514982883863333,-29.5163562619478,1.77576055381009e-191,2.7109944454834e-189,"PXN","5829","paxillin"
"ENSG00000171246",11339.2021259297,1.74022776481699,0.0589999212064807,29.495425235006,3.29539213743454e-191,4.97379526925063e-189,"NPTX1","4884","neuronal pentraxin 1"
"ENSG00000176014",5059.66070673934,-1.58283390186079,0.0538875306134122,-29.3729158460796,1.218316310708e-189,1.8181659818903e-187,"TUBB6","84617","tubulin beta 6 class V"
"ENSG00000173546",2782.7113944163,-1.70829393527182,0.0583274014485165,-29.2880171728493,1.47386808990104e-188,2.17510177445173e-186,"CSPG4","1464","chondroitin sulfate proteoglycan 4"
"ENSG00000171617",3172.76514957676,1.72300162211309,0.0588438277060936,29.2809235782373,1.8145983141936e-188,2.64851591309004e-186,"ENC1","8507","ectodermal-neural cortex 1"
"ENSG00000003436",3855.53263789867,1.53736821952532,0.0525943200802864,29.2306891158302,7.90287739883140e-188,1.14093497403564e-185,"TFPI","7035","tissue factor pathway inhibitor"
"ENSG00000156011",1865.6956706154,1.7411849561086,0.0596403751305834,29.1947351487353,2.26184898901324e-187,3.23030949162085e-185,"PSD3","23362","pleckstrin and Sec7 domain containing 3"
"ENSG00000145147",601.510428483162,-2.68638160736528,0.0920907451449689,-29.1710269380098,4.52160497366298e-187,6.38893162342465e-185,"SLIT2","9353","slit guidance ligand 2"
"ENSG00000159399",1648.34458773227,1.92240799536856,0.0660868004972961,29.0891370274041,4.92609371952383e-186,6.88719755607532e-184,"HK2","3099","hexokinase 2"
"ENSG00000088448",1041.5088322989,2.36784169912619,0.0819022920648479,28.9105669625387,8.79360429405359e-184,1.21663179410021e-181,"ANKRD10","55608","ankyrin repeat domain 10"
"ENSG00000065911",1563.07540926849,-1.94825290856798,0.0674114955674489,-28.9009002421353,1.16322561742046e-183,1.59277965469882e-181,"MTHFD2","10797","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase"
"ENSG00000116729",14027.992136521,1.67569503652785,0.0579922789633949,28.8951402924786,1.37416577519619e-183,1.86241528838324e-181,"WLS","79971","wntless Wnt ligand secretion mediator"
"ENSG00000108932",593.620514665934,3.86327148953407,0.133749191485775,28.8844474244538,1.87223112664448e-183,2.51181553778708e-181,"SLC16A6","9120","solute carrier family 16 member 6"
"ENSG00000171444",1285.81453923875,1.85634885104677,0.0642892067169212,28.87496900095,2.46253759723067e-183,3.27074243664178e-181,"MCC","4163","MCC, WNT signaling pathway regulator"
"ENSG00000157557",2128.88768598769,1.84664671580814,0.0640079783513779,28.8502584110811,5.02918867449507e-183,6.61363207669738e-181,"ETS2","2114","ETS proto-oncogene 2, transcription factor"
"ENSG00000134250",3989.90689953644,-1.35594541553569,0.0471003534779511,-28.7884339587906,2.99383142817633e-182,3.89843814010177e-180,"NOTCH2","4853","notch 2"
"ENSG00000064666",5624.42477846777,-1.64271019033852,0.0570985590466278,-28.7697311064724,5.13178333982965e-182,6.61750935141917e-180,"CNN2","1265","calponin 2"
"ENSG00000171848",822.67379311788,-2.53282653466445,0.0880754071561028,-28.7574774440193,7.30338336320995e-182,9.32726325289948e-180,"RRM2","6241","ribonucleotide reductase regulatory subunit M2"
"ENSG00000122641",8425.96553258608,1.39133600248624,0.0484317059614446,28.7277925661724,1.71601463265066e-181,2.17067679532058e-179,"INHBA","3624","inhibin subunit beta A"
"ENSG00000117399",548.054729960495,-3.23355885054702,0.113110284096553,-28.5876644760859,9.56442117901037e-180,1.1984400198077e-177,"CDC20","991","cell division cycle 20"
"ENSG00000155903",1023.35613415789,2.05090227247241,0.0719362771090445,28.5099862669228,8.80923741795638e-179,1.09349805032988e-176,"RASA2","5922","RAS p21 protein activator 2"
"ENSG00000182481",2566.38058699848,-1.61373029994158,0.0568297704960493,-28.3958616382899,2.27461595320681e-177,2.79735639726786e-175,"KPNA2","3838","karyopherin subunit alpha 2"
"ENSG00000103257",3712.52147667185,-1.50761872799755,0.053098040616546,-28.3931141430436,2.45940996584515e-177,2.99687001526196e-175,"SLC7A5","8140","solute carrier family 7 member 5"
"ENSG00000135926",1251.33626199858,-1.85342679345761,0.0656670859844193,-28.2245932748923,2.91923640974416e-175,3.524845272202e-173,"TMBIM1","64114","transmembrane BAX inhibitor motif containing 1"
"ENSG00000185112",747.773002441521,2.65520171364473,0.0941512683208238,28.2014439210424,5.61394511110392e-175,6.71751522213353e-173,"FAM43A","131583","family with sequence similarity 43 member A"
"ENSG00000108829",3850.57518186778,-1.47512164411622,0.0523891945453994,-28.1569826930229,1.96821076604866e-174,2.33408708880878e-172,"LRRC59","55379","leucine rich repeat containing 59"
"ENSG00000136153",4620.22110366109,-1.403099063121,0.0498340075246072,-28.1554531296358,2.05493824723093e-174,2.41537077873639e-172,"LMO7","4008","LIM domain 7"
"ENSG00000057657",689.791384929011,2.83410975297528,0.10073917405702,28.1331446232736,3.85316052319201e-174,4.48927000605582e-172,"PRDM1","639","PR/SET domain 1"
"ENSG00000103449",1051.52143130918,2.35382514751542,0.083951993329707,28.0377517454669,5.63416147046185e-173,6.50721153484125e-171,"SALL1","6299","spalt like transcription factor 1"
"ENSG00000172795",852.701537725169,2.13212813372613,0.0762845475483262,27.9496726696245,6.65296052776745e-172,7.61763980429374e-170,"DCP2","167227","decapping mRNA 2"
"ENSG00000166510",570.336073336896,2.83105251829416,0.101488522195145,27.8952974884247,3.04259095193513e-171,3.45399085671815e-169,"CCDC68","80323","coiled-coil domain containing 68"
"ENSG00000141429",3588.58297366052,1.5060907700427,0.0540315765377834,27.8742703165345,5.47285123197388e-171,6.16020424263365e-169,"GALNT1","2589","polypeptide N-acetylgalactosaminyltransferase 1"
"ENSG00000109685",1268.17937848349,-1.8911379710536,0.0679960845769736,-27.8124539496502,3.0667077218065e-170,3.42285814798604e-168,"NSD2","7468","nuclear receptor binding SET domain protein 2"
"ENSG00000184838",1048.67798618006,2.27795151427897,0.0819088605845248,27.8108070118771,3.21063158444424e-170,3.5536340587157e-168,"PRR16","51334","proline rich 16"
"ENSG00000161800",563.923688119321,-2.79241120430921,0.100506195088723,-27.7834734649358,6.87054136228228e-170,7.54169672511018e-168,"RACGAP1","29127","Rac GTPase activating protein 1"
"ENSG00000163661",1909.80217231797,-1.64967077410001,0.0593796269940971,-27.7817638407194,7.20519374190064e-170,7.84421174425609e-168,"PTX3","5806","pentraxin 3"
"ENSG00000166851",502.683929770066,-3.32936342938346,0.120026059034829,-27.7386715531277,2.38695050478609e-169,2.57751842313568e-167,"PLK1","5347","polo like kinase 1"
"ENSG00000091039",4444.70184434491,1.57255887734828,0.0566977959557601,27.735802615243,2.58492420818345e-169,2.76878736557198e-167,"OSBPL8","114882","oxysterol binding protein like 8"
"ENSG00000135318",10396.875971113,-1.18101593661655,0.0425881999322848,-27.7310602113816,2.94877514088344e-169,3.13325051369711e-167,"NT5E","4907","5'-nucleotidase ecto"
"ENSG00000197565",563.648360733133,3.4127874959092,0.123105021175132,27.7225694235014,3.73264769453613e-169,3.93468465704991e-167,"COL4A6","1288","collagen type IV alpha 6 chain"
"ENSG00000173801",2853.13714423843,1.54853893153923,0.0559804086151918,27.662158420169,1.99298211625893e-168,2.08431405261032e-166,"JUP","3728","junction plakoglobin"
"ENSG00000076641",954.690284174,2.03269233061539,0.0738622114101792,27.5200578456449,1.01036434025899e-166,1.04841087244687e-164,"PAG1","55824","phosphoprotein membrane anchor with glycosphingolipid microdomains 1"
"ENSG00000113387",1168.42585268541,-2.03754837279417,0.0740755755726151,-27.5063454727638,1.47414677286789e-166,1.51779980133576e-164,"SUB1","10923","SUB1 homolog, transcriptional regulator"
"ENSG00000102225",1340.69055489962,-1.74230511098578,0.0633543759355601,-27.5009434669191,1.71061012679796e-166,1.74771720801004e-164,"CDK16","5127","cyclin dependent kinase 16"
"ENSG00000089685",509.548185635596,-3.09774618638555,0.112863595871021,-27.4468145594582,7.58328263115588e-166,7.68863816084064e-164,"BIRC5","332","baculoviral IAP repeat containing 5"
"ENSG00000100345",41759.3349472728,-1.22519143560704,0.0446400229659669,-27.4460305842834,7.74844341208726e-166,7.7965776817684e-164,"MYH9","4627","myosin heavy chain 9"
"ENSG00000111206",489.63700653501,-3.02343258558513,0.110169644157223,-27.4434269867514,8.32315690008095e-166,8.31189247720866e-164,"FOXM1","2305","forkhead box M1"
"ENSG00000038427",13753.9971136825,1.28373391049843,0.0467931524227886,27.4342258221791,1.0717149594052e-165,1.06227746946417e-163,"VCAN","1462","versican"
"ENSG00000076706",1719.55770882045,-1.57936847963083,0.0576957368222977,-27.3740932453168,5.58079557766417e-165,5.49067606389152e-163,"MCAM","4162","melanoma cell adhesion molecule"
"ENSG00000072041",2369.28278181903,5.09735332203113,0.186814833117031,27.2855920323943,6.28835886240983e-164,6.14132223606818e-162,"SLC6A15","55117","solute carrier family 6 member 15"
"ENSG00000170759",4331.58598921615,-1.28568752008744,0.047270949543942,-27.1982588141644,6.81030774200069e-163,6.60251879045643e-161,"KIF5B","3799","kinesin family member 5B"
"ENSG00000136378",1190.06353560081,2.13134698675422,0.0785061061945193,27.1488052339936,2.61560566304821e-162,2.51742568236277e-160,"ADAMTS7","11173","ADAM metallopeptidase with thrombospondin type 1 motif 7"
"ENSG00000125384",562.779146692896,-2.72079025354943,0.100441940068064,-27.0881889747022,1.35657296458838e-161,1.29625914501172e-159,"PTGER2","5732","prostaglandin E receptor 2"
"ENSG00000152223",2690.47150334747,-1.50603676135508,0.0558177431221278,-26.9813266734901,2.44810686485321e-160,2.32255395564146e-158,"EPG5","57724","ectopic P-granules autophagy protein 5 homolog"
"ENSG00000075426",1241.54577193998,-2.02421556453343,0.0751040370974651,-26.9521538756503,5.38215650804796e-160,5.06991508793568e-158,"FOSL2","2355","FOS like 2, AP-1 transcription factor subunit"
"ENSG00000147883",1092.60954361111,2.17986457151442,0.08094979175877,26.9286001131468,1.01605062915673e-159,9.50365102567587e-158,"CDKN2B","1030","cyclin dependent kinase inhibitor 2B"
"ENSG00000147065",17820.4971549208,-1.03010306302702,0.038293091234492,-26.9004937919237,2.16719455325432e-159,2.01291454939327e-157,"MSN","4478","moesin"
"ENSG00000174574",1409.88985133804,-1.7444466138176,0.0648718379198394,-26.8906611829493,2.8242752297415e-159,2.60500163898796e-157,"AKIRIN1","79647","akirin 1"
"ENSG00000119326",1060.1999959954,-2.06906853297568,0.0770052250498084,-26.8691966244806,5.03298839002342e-159,4.61021736526145e-157,"CTNNAL1","8727","catenin alpha like 1"
"ENSG00000113319",1375.65463563177,1.72034768851966,0.0640489401413784,26.8598931492426,6.46428820622114e-159,5.88073122979652e-157,"RASGRF2","5924","Ras protein specific guanine nucleotide releasing factor 2"
"ENSG00000167900",535.537322697115,-2.99327009147004,0.111675894697011,-26.8031888134061,2.96619516057556e-158,2.68006830767106e-156,"TK1","7083","thymidine kinase 1"
"ENSG00000091844",494.500786591075,2.80824049490081,0.104829497834946,26.7886477842561,4.3818080111167e-158,3.93237662186838e-156,"RGS17","26575","regulator of G protein signaling 17"
"ENSG00000100106",1548.43376339178,-1.54579253714853,0.058104973532426,-26.6034461970091,6.19262846342607e-156,5.52016719806879e-154,"TRIOBP","11078","TRIO and F-actin binding protein"
"ENSG00000125845",1172.2386809597,5.52533661138903,0.207771211150543,26.5933696049238,8.099146713847e-156,7.17152444355439e-154,"BMP2","650","bone morphogenetic protein 2"
"ENSG00000042062",529.580434708431,3.50764107967322,0.132543075486767,26.4641594198064,2.50736383060904e-154,2.20548386742711e-152,"RIPOR3","140876","RIPOR family member 3"
"ENSG00000167553",3002.80270522025,-1.43649987393243,0.0543871423912823,-26.4124903565937,9.84756471064424e-154,8.60495753202479e-152,"TUBA1C","84790","tubulin alpha 1c"
"ENSG00000100647",1393.45153066727,1.71994684448427,0.0651478771412185,26.4006583170164,1.34652812762914e-153,1.16892722818106e-151,"SUSD6","9766","sushi domain containing 6"
"ENSG00000145386",450.26224000273,-3.10925685885649,0.118122044339007,-26.3224098114404,1.0625321481666e-152,9.16399479996672e-151,"CCNA2","890","cyclin A2"
"ENSG00000139318",1424.14713666972,1.67884806476137,0.0638366581128306,26.2991220780077,1.96257138826087e-152,1.68173375347619e-150,"DUSP6","1848","dual specificity phosphatase 6"
"ENSG00000151617",710.546799779895,2.15467096625442,0.0821809931096794,26.2186046277,1.63072491115721e-151,1.38841591474295e-149,"EDNRA","1909","endothelin receptor type A"
"ENSG00000113810",918.429735878976,-1.98563340956246,0.0758284828714864,-26.1858517323589,3.8515276940273e-151,3.25834336510004e-149,"SMC4","10051","structural maintenance of chromosomes 4"
"ENSG00000169439",2385.18491369971,1.3244569724003,0.0507893140318221,26.0774731387485,6.56749811583991e-150,5.52085506168263e-148,"SDC2","6383","syndecan 2"
"ENSG00000091409",2615.20252718009,-1.34483375872264,0.0516184481186869,-26.0533551034012,1.23258923590168e-149,1.02963837932366e-147,"ITGA6","3655","integrin subunit alpha 6"
